,TR2144|c0_g1_i1,GO:0032550,atp-dependent zinc metalloprotease ftsh chloroplastic-like isoform x1,,,,,,
,TR33632|c6_g2_i3,GO:0008324,autoinhibited h(+)-atpase isoform 2,,,,,,
,TR33664|c0_g1_i2,GO:0032550,leucine-rich repeat receptor protein kinase exs,,,,,,
,TR33664|c0_g1_i2,GO:0035556,leucine-rich repeat receptor protein kinase exs,,,,,,
,TR33664|c0_g1_i2,GO:0044710,leucine-rich repeat receptor protein kinase exs,,,,,,
,TR33664|c0_g1_i2,GO:0032147,leucine-rich repeat receptor protein kinase exs,,,,,,
,TR33664|c0_g1_i2,GO:0016628,leucine-rich repeat receptor protein kinase exs,,,,,,
,TR33664|c0_g1_i2,GO:0016791,leucine-rich repeat receptor protein kinase exs,,,,,,
,TR33664|c0_g1_i2,GO:0044425,leucine-rich repeat receptor protein kinase exs,,,,,,
,TR33664|c0_g1_i2,GO:0004702,leucine-rich repeat receptor protein kinase exs,,,,,,
,TR33683|c0_g1_i1,GO:0005875,kinesin-ii 95 kda subunit,,,,,,
,TR33683|c0_g1_i1,GO:0015631,kinesin-ii 95 kda subunit,,,,,,
,TR33683|c0_g1_i1,GO:0007017,kinesin-ii 95 kda subunit,,,,,,
,TR33683|c0_g1_i1,GO:0003774,kinesin-ii 95 kda subunit,,,,,,
,TR33683|c0_g1_i1,GO:0032550,kinesin-ii 95 kda subunit,,,,,,
,TR33762|c2_g1_i1,GO:0006596,s-adenosylmethionine decarboxylase proenzyme-like,,,,,,
,TR33762|c2_g1_i1,GO:0016831,s-adenosylmethionine decarboxylase proenzyme-like,,,,,,
,TR33769|c1_g1_i1,GO:0044425,hva22 c,,,,,,
,TR33769|c1_g1_i1,GO:0005911,hva22 c,,,,,,
,TR33771|c0_g1_i1,GO:0032550,kinesin-like protein 1 isoform 2,,,,,,
,TR33771|c0_g1_i1,GO:0005875,kinesin-like protein 1 isoform 2,,,,,,
,TR33771|c0_g1_i1,GO:0043231,kinesin-like protein 1 isoform 2,,,,,,
,TR33771|c0_g1_i1,GO:0045333,kinesin-like protein 1 isoform 2,,,,,,
,TR33771|c0_g1_i1,GO:0003774,kinesin-like protein 1 isoform 2,,,,,,
,TR33771|c0_g1_i1,GO:0007017,kinesin-like protein 1 isoform 2,,,,,,
,TR33771|c0_g1_i1,GO:0015631,kinesin-like protein 1 isoform 2,,,,,,
,TR33799|c5_g1_i1,GO:0043170,double clp-n motif-containing p-loop nucleoside triphosphate hydrolases superfamily protein,,,,,,
,TR33799|c5_g1_i1,GO:0003824,double clp-n motif-containing p-loop nucleoside triphosphate hydrolases superfamily protein,,,,,,
,TR33836|c5_g1_i3,GO:0008152,uncharacterized protein loc102608245,,,,,,
,TR33836|c5_g1_i3,GO:0016741,uncharacterized protein loc102608245,,,,,,
,TR33850|c1_g1_i1,GO:0044425,triose phosphate phosphate non-green chloroplast,,,,,,
,TR33850|c1_g1_i1,GO:0051234,triose phosphate phosphate non-green chloroplast,,,,,,
,TR33893|c0_g1_i1,GO:0015630,caldesmon isoform x1,,,,,,
,TR33893|c0_g1_i1,GO:0043234,caldesmon isoform x1,,,,,,
,TR33893|c0_g1_i1,GO:0000280,caldesmon isoform x1,,,,,,
,TR33914|c1_g2_i2,GO:0006796,leucine-rich repeat protein kinase family protein isoform 1,,,,,,
,TR33914|c1_g2_i2,GO:0016301,leucine-rich repeat protein kinase family protein isoform 1,,,,,,
,TR33914|c1_g2_i2,GO:0006464,leucine-rich repeat protein kinase family protein isoform 1,,,,,,
,TR33914|c1_g2_i2,GO:0032550,leucine-rich repeat protein kinase family protein isoform 1,,,,,,
Ribpr cpx,TR33915|c0_g1_i1,GO:0034645,uncharacterized protein loc103319136,,,,,,
,TR33915|c0_g1_i1,GO:0030529,uncharacterized protein loc103319136,,,,,,
,TR33915|c0_g1_i1,GO:0019843,uncharacterized protein loc103319136,,,,,,
,TR33915|c0_g1_i1,GO:0005198,uncharacterized protein loc103319136,,,,,,
,TR33917|c1_g1_i2,GO:0005488,polx_tobac ame: full=retrovirus-related pol polyprotein from transposon tnt 1-94 includes: ame: full=protease includes: ame: full=reverse transcriptase includes: ame: full=endonuclease,,,,,,
,TR33917|c1_g1_i2,GO:0016787,polx_tobac ame: full=retrovirus-related pol polyprotein from transposon tnt 1-94 includes: ame: full=protease includes: ame: full=reverse transcriptase includes: ame: full=endonuclease,,,,,,
,TR33917|c1_g1_i2,GO:0090304,polx_tobac ame: full=retrovirus-related pol polyprotein from transposon tnt 1-94 includes: ame: full=protease includes: ame: full=reverse transcriptase includes: ame: full=endonuclease,,,,,,
,TR33917|c1_g1_i2,GO:0016740,polx_tobac ame: full=retrovirus-related pol polyprotein from transposon tnt 1-94 includes: ame: full=protease includes: ame: full=reverse transcriptase includes: ame: full=endonuclease,,,,,,
,TR33943|c2_g1_i1,GO:0044464,rho gtpase activating protein with pak-box p21-rho-binding domain,,,,,,
,TR33943|c2_g1_i1,GO:0050794,rho gtpase activating protein with pak-box p21-rho-binding domain,,,,,,
,TR33956|c1_g1_i4,GO:0045841,plant mitotic spindle assembly checkpoint protein,,,,,,
,TR33985|c1_g1_i1,GO:1901990,f-box protein at1g10780,,,,,,
,TR33985|c1_g1_i1,GO:0016570,f-box protein at1g10780,,,,,,
,TR33985|c1_g1_i1,GO:0005911,f-box protein at1g10780,,,,,,
,TR33985|c1_g1_i1,GO:0051052,f-box protein at1g10780,,,,,,
,TR33990|c0_g3_i1,GO:0090150,albino3-like protein mitochondrial-like,,,,,,
,TR33990|c0_g3_i1,GO:0044425,albino3-like protein mitochondrial-like,,,,,,
,TR34035|c1_g1_i1,GO:0043231,uncharacterized protein loc100241507,,,,,,
,TR34046|c0_g1_i1,GO:0044444,uncharacterized protein loc100245597,,,,,,
,TR34084|c0_g3_i1,GO:0044425,mitochondrial import inner membrane translocase subunit tim17 family protein,,,,,,
,TR34084|c0_g3_i1,GO:0015031,mitochondrial import inner membrane translocase subunit tim17 family protein,,,,,,
,TR34087|c0_g1_i1,GO:0071555,pectin lyase-like superfamily protein isoform 1,,,,,,
,TR34087|c0_g1_i1,GO:0030312,pectin lyase-like superfamily protein isoform 1,,,,,,
,TR34087|c0_g1_i1,GO:0052689,pectin lyase-like superfamily protein isoform 1,,,,,,
,TR34088|c1_g1_i1,GO:0000377,ribosome biogenesis protein nsa2 homolog,,,,,,
,TR34088|c1_g1_i1,GO:0030529,ribosome biogenesis protein nsa2 homolog,,,,,,
,TR39029|c1_g1_i5,GO:0071103,dna gyrase subunit chloroplastic mitochondrial-like,,,,,,
,TR39029|c1_g1_i5,GO:0032550,dna gyrase subunit chloroplastic mitochondrial-like,,,,,,
,TR39029|c1_g1_i5,GO:0009154,dna gyrase subunit chloroplastic mitochondrial-like,,,,,,
,TR39029|c1_g1_i5,GO:0003676,dna gyrase subunit chloroplastic mitochondrial-like,,,,,,
,TR39029|c1_g1_i5,GO:0043232,dna gyrase subunit chloroplastic mitochondrial-like,,,,,,
,TR39029|c1_g1_i5,GO:0016853,dna gyrase subunit chloroplastic mitochondrial-like,,,,,,
,TR39029|c1_g1_i5,GO:0008094,dna gyrase subunit chloroplastic mitochondrial-like,,,,,,
,TR39042|c1_g3_i4,GO:0006996,threonine dehydratase chloroplastic,,,,,,
,TR39042|c1_g3_i4,GO:0006549,threonine dehydratase chloroplastic,,,,,,
,TR39042|c1_g3_i4,GO:0043168,threonine dehydratase chloroplastic,,,,,,
,TR39042|c1_g3_i4,GO:0009536,threonine dehydratase chloroplastic,,,,,,
,TR39042|c1_g3_i4,GO:0016841,threonine dehydratase chloroplastic,,,,,,
,TR39042|c1_g3_i4,GO:0051603,threonine dehydratase chloroplastic,,,,,,
,TR39042|c1_g3_i4,GO:0008652,threonine dehydratase chloroplastic,,,,,,
,TR39042|c1_g3_i4,GO:0006006,threonine dehydratase chloroplastic,,,,,,
,TR39062|c1_g1_i3,GO:0034062,dna-directed rna polymerase i subunit rpa2,,,,,,
,TR39062|c1_g1_i3,GO:0003676,dna-directed rna polymerase i subunit rpa2,,,,,,
,TR39062|c1_g1_i3,GO:0034645,dna-directed rna polymerase i subunit rpa2,,,,,,
,TR39062|c1_g1_i3,GO:0001882,dna-directed rna polymerase i subunit rpa2,,,,,,
,TR39062|c1_g1_i3,GO:0043231,dna-directed rna polymerase i subunit rpa2,,,,,,
,TR39094|c5_g5_i5,GO:0016772,probable lrr receptor-like serine threonine-protein kinase at3g47570-like,,,,,,
,TR39124|c0_g1_i2,GO:1901363,dna repair protein reca homolog mitochondrial-like,,,,,,
,TR39124|c0_g1_i2,GO:0006139,dna repair protein reca homolog mitochondrial-like,,,,,,
,TR39124|c0_g1_i2,GO:0006950,dna repair protein reca homolog mitochondrial-like,,,,,,
,TR39124|c0_g1_i2,GO:0097159,dna repair protein reca homolog mitochondrial-like,,,,,,
,TR39183|c2_g1_i3,GO:0031406,aspartokinase chloroplastic-like isoform x2,,,,,,
,TR39183|c2_g1_i3,GO:0006796,aspartokinase chloroplastic-like isoform x2,,,,,,
,TR39183|c2_g1_i3,GO:0016774,aspartokinase chloroplastic-like isoform x2,,,,,,
,TR39183|c2_g1_i3,GO:0006520,aspartokinase chloroplastic-like isoform x2,,,,,,
rib bioge,TR39186|c4_g1_i1,GO:0009536,acid-amino acid isoform 1,,,,,,
ribpr cpx bg,TR39186|c4_g1_i1,GO:0022604,acid-amino acid isoform 1,,,,,,
,TR39186|c4_g1_i1,GO:0032550,acid-amino acid isoform 1,,,,,,
,TR39186|c4_g1_i1,GO:0009668,acid-amino acid isoform 1,,,,,,
,TR39186|c4_g1_i1,GO:0006355,acid-amino acid isoform 1,,,,,,
,TR39186|c4_g1_i1,GO:0016881,acid-amino acid isoform 1,,,,,,
,TR39186|c4_g1_i1,GO:0034660,acid-amino acid isoform 1,,,,,,
,TR39186|c4_g1_i1,GO:0009658,acid-amino acid isoform 1,,,,,,
,TR39186|c4_g1_i1,GO:0042254,acid-amino acid isoform 1,,,,,,
,TR39193|c0_g1_i6,GO:0006457,rubisco subunit binding-protein beta,,,,,,
,TR39193|c0_g1_i6,GO:0032550,rubisco subunit binding-protein beta,,,,,,
,TR39193|c0_g1_i6,GO:0044424,rubisco subunit binding-protein beta,,,,,,
,TR39225|c2_g2_i1,GO:0040007,phytochelatin synthetase-like family protein,,,,,,
,TR39225|c2_g2_i1,GO:0031224,phytochelatin synthetase-like family protein,,,,,,
,TR39225|c2_g2_i1,GO:0030198,phytochelatin synthetase-like family protein,,,,,,
,TR39282|c0_g3_i6,GO:0006810,equilibrative nucleotide transporter 3-like,,,,,,
,TR39285|c0_g1_i1,GO:0003676,rna binding isoform 1,,,,,,
,TR39285|c0_g1_i1,GO:0043231,rna binding isoform 1,,,,,,
,TR39285|c0_g1_i1,GO:0006396,rna binding isoform 1,,,,,,
,TR39367|c3_g2_i3,GO:0016301,receptor-like protein kinase hsl1,,,,,,
,TR39388|c1_g1_i5,GO:0004175,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39388|c1_g1_i5,GO:0032550,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39388|c1_g1_i5,GO:0090329,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39388|c1_g1_i5,GO:0003677,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39388|c1_g1_i5,GO:0043623,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39388|c1_g1_i5,GO:0009154,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39388|c1_g1_i5,GO:0019941,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39388|c1_g1_i5,GO:0042623,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39388|c1_g1_i5,GO:0044429,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39388|c1_g1_i5,GO:0006979,low quality protein: lon protease homolog mitochondrial-like,,,,,,
,TR39406|c0_g3_i5,GO:0016020,sugar transporter erd6-like 5,,,,,,
,TR39406|c0_g3_i5,GO:0051234,sugar transporter erd6-like 5,,,,,,
,TR39406|c0_g3_i5,GO:0022857,sugar transporter erd6-like 5,,,,,,
,TR39434|c5_g3_i6,GO:0016798,beta-glucosidase 12-like,,,,,,
,TR39434|c5_g3_i6,GO:0044238,beta-glucosidase 12-like,,,,,,
rib bioge,TR39442|c5_g2_i3,GO:0005488,ribosome biogenesis protein bop1 homolog,,,,,,
ribpr cpx bg,TR39442|c5_g2_i3,GO:0043232,ribosome biogenesis protein bop1 homolog,,,,,,
,TR39442|c5_g2_i3,GO:0044428,ribosome biogenesis protein bop1 homolog,,,,,,
,TR39442|c5_g2_i3,GO:0000470,ribosome biogenesis protein bop1 homolog,,,,,,
,TR39442|c5_g2_i3,GO:0000460,ribosome biogenesis protein bop1 homolog,,,,,,
,TR39442|c5_g2_i3,GO:0030684,ribosome biogenesis protein bop1 homolog,,,,,,
RNA mod,TR39445|c0_g1_i4,GO:0009886,gdsl esterase lipase at4g28780,,,,,,
,TR39445|c0_g1_i4,GO:0006629,gdsl esterase lipase at4g28780,,,,,,
,TR39445|c0_g1_i4,GO:0016787,gdsl esterase lipase at4g28780,,,,,,
,TR39445|c0_g1_i4,GO:0009451,gdsl esterase lipase at4g28780,,,,,,
,TR39513|c1_g2_i1,GO:0006090,fructose-bisphosphate aldolase cytoplasmic isozyme-like,,,,,,
,TR39513|c1_g2_i1,GO:0016832,fructose-bisphosphate aldolase cytoplasmic isozyme-like,,,,,,
,TR39544|c4_g1_i1,GO:0043231,arf domain class transcription factor,,,,,,
,TR39544|c4_g1_i1,GO:0034645,arf domain class transcription factor,,,,,,
,TR39544|c4_g1_i1,GO:0010468,arf domain class transcription factor,,,,,,
,TR39544|c4_g1_i1,GO:0009755,arf domain class transcription factor,,,,,,
,TR39544|c4_g1_i1,GO:0005515,arf domain class transcription factor,,,,,,
,TR39563|c6_g3_i1,GO:0043231,pumilio homolog 24-like,,,,,,
,TR39563|c6_g3_i1,GO:0044238,pumilio homolog 24-like,,,,,,
,TR39563|c6_g3_i1,GO:0044260,pumilio homolog 24-like,,,,,,
,TR39563|c6_g3_i1,GO:0071702,pumilio homolog 24-like,,,,,,
,TR39563|c6_g3_i1,GO:0006913,pumilio homolog 24-like,,,,,,
,TR39563|c6_g3_i1,GO:0033036,pumilio homolog 24-like,,,,,,
,TR39563|c6_g3_i1,GO:0010467,pumilio homolog 24-like,,,,,,
rib bioge,TR39575|c3_g1_i7,GO:0005488,transducin wd40 repeat-like superfamily protein isoform 1,,,,,,
ribpr cpx bg,TR39575|c3_g1_i7,GO:0043232,transducin wd40 repeat-like superfamily protein isoform 1,,,,,,
,TR39575|c3_g1_i7,GO:0044428,transducin wd40 repeat-like superfamily protein isoform 1,,,,,,
,TR39575|c3_g1_i7,GO:0000470,transducin wd40 repeat-like superfamily protein isoform 1,,,,,,
,TR39575|c3_g1_i7,GO:0000460,transducin wd40 repeat-like superfamily protein isoform 1,,,,,,
,TR39575|c3_g1_i7,GO:0030684,transducin wd40 repeat-like superfamily protein isoform 1,,,,,,
ribpr cpx bg,TR39610|c0_g1_i7,GO:0043232,nucleolar gtp-binding protein 1,,,,,,
,TR39610|c0_g1_i7,GO:0043231,nucleolar gtp-binding protein 1,,,,,,
,TR39610|c0_g1_i7,GO:0022613,nucleolar gtp-binding protein 1,,,,,,
,TR39610|c0_g1_i7,GO:0032550,nucleolar gtp-binding protein 1,,,,,,
,TR39623|c2_g2_i1,GO:0032550,atp binding,,,,,,
,TR39623|c2_g2_i1,GO:0005875,atp binding,,,,,,
,TR39623|c2_g2_i1,GO:0003774,atp binding,,,,,,
,TR39623|c2_g2_i1,GO:0044444,atp binding,,,,,,
,TR39623|c2_g2_i1,GO:0007017,atp binding,,,,,,
,TR39623|c2_g2_i1,GO:0061640,atp binding,,,,,,
,TR39623|c2_g2_i1,GO:0015631,atp binding,,,,,,
,TR39640|c1_g2_i4,GO:0032787,dihydrolipoamide acetyltransferase component of pyruvate,,,,,,
,TR39640|c1_g2_i4,GO:0016418,dihydrolipoamide acetyltransferase component of pyruvate,,,,,,
,TR39640|c1_g2_i4,GO:0044429,dihydrolipoamide acetyltransferase component of pyruvate,,,,,,
,TR39647|c6_g1_i1,GO:0032550,dead-box atp-dependent rna helicase 28-like,,,,,,
,TR39647|c6_g1_i1,GO:0009154,dead-box atp-dependent rna helicase 28-like,,,,,,
,TR39647|c6_g1_i1,GO:0003676,dead-box atp-dependent rna helicase 28-like,,,,,,
,TR39647|c6_g1_i1,GO:0042623,dead-box atp-dependent rna helicase 28-like,,,,,,
,TR39663|c2_g1_i1,GO:0055086,mta sah,,,,,,
,TR39663|c2_g1_i1,GO:0052689,mta sah,,,,,,
,TR39690|c1_g1_i2,GO:0035251,cinnamate beta-d-glucosyltransferase-like,,,,,,
,TR39713|c3_g1_i2,GO:0048580,myb domain protein 17 isoform 2,,,,,,
,TR39713|c3_g1_i2,GO:0048437,myb domain protein 17 isoform 2,,,,,,
,TR39713|c3_g1_i2,GO:0003676,myb domain protein 17 isoform 2,,,,,,
,TR39713|c3_g1_i2,GO:0010468,myb domain protein 17 isoform 2,,,,,,
,TR39713|c3_g1_i2,GO:0001071,myb domain protein 17 isoform 2,,,,,,
,TR39737|c0_g1_i4,GO:0044238,hypothetical protein JCGZ_16703 [Jatropha curcas],,,,,,
,TR39737|c0_g1_i4,GO:0015926,hypothetical protein JCGZ_16703 [Jatropha curcas],,,,,,
ribpr cpx bg,TR39760|c2_g3_i15,GO:0044452,h aca ribonucleoprotein complex subunit 1-like protein 1-like,,,,,,
,TR39760|c2_g3_i15,GO:0022613,h aca ribonucleoprotein complex subunit 1-like protein 1-like,,,,,,
,TR39760|c2_g3_i15,GO:0009451,h aca ribonucleoprotein complex subunit 1-like protein 1-like,,,,,,
,TR39782|c1_g1_i2,GO:0043231,pentatricopeptide repeat-containing,,,,,,
,TR39782|c1_g1_i2,GO:0006221,pentatricopeptide repeat-containing,,,,,,
,TR39836|c4_g1_i5,GO:0032550,kinase family protein with arm repeat domain isoform 1,,,,,,
,TR39836|c4_g1_i5,GO:0004672,kinase family protein with arm repeat domain isoform 1,,,,,,
,TR39836|c4_g1_i5,GO:0007349,kinase family protein with arm repeat domain isoform 1,,,,,,
,TR39836|c4_g1_i5,GO:0006464,kinase family protein with arm repeat domain isoform 1,,,,,,
,TR39836|c4_g1_i5,GO:0005911,kinase family protein with arm repeat domain isoform 1,,,,,,
,TR39836|c4_g1_i5,GO:0006796,kinase family protein with arm repeat domain isoform 1,,,,,,
,TR39836|c4_g1_i5,GO:0015631,kinase family protein with arm repeat domain isoform 1,,,,,,
,TR39836|c4_g1_i5,GO:1902407,kinase family protein with arm repeat domain isoform 1,,,,,,
,TR39851|c4_g1_i2,GO:0016616,bifunctional 3-dehydroquinate dehydratase shikimate chloroplastic-like isoform x1,,,,,,
,TR39851|c4_g1_i2,GO:0044710,bifunctional 3-dehydroquinate dehydratase shikimate chloroplastic-like isoform x1,,,,,,
,TR39851|c4_g1_i2,GO:0016836,bifunctional 3-dehydroquinate dehydratase shikimate chloroplastic-like isoform x1,,,,,,
,TR39931|c4_g8_i1,GO:0006457,chaperonin cpn60- mitochondrial-like isoform 1,,,,,,
,TR39931|c4_g8_i1,GO:0032550,chaperonin cpn60- mitochondrial-like isoform 1,,,,,,
,TR39931|c4_g8_i1,GO:0044424,chaperonin cpn60- mitochondrial-like isoform 1,,,,,,
,TR39956|c2_g1_i15,GO:0005488,uncharacterized protein loc103500910 isoform x1,,,,,,
,TR39988|c2_g1_i1,GO:0017111,abc transporter b family member 11-like,,,,,,
,TR39988|c2_g1_i1,GO:0044763,abc transporter b family member 11-like,,,,,,
,TR39988|c2_g1_i1,GO:0097159,abc transporter b family member 11-like,,,,,,
,TR39988|c2_g1_i1,GO:0051234,abc transporter b family member 11-like,,,,,,
,TR39988|c2_g1_i1,GO:1901363,abc transporter b family member 11-like,,,,,,
,TR39988|c2_g1_i1,GO:0036094,abc transporter b family member 11-like,,,,,,
,TR40004|c2_g1_i1,GO:0048449,formin-like protein 11,,,,,,
,TR40004|c2_g1_i1,GO:0016020,formin-like protein 11,,,,,,
,TR40050|c1_g3_i9,GO:0044425,ferric reduction oxidase chloroplastic-like,,,,,,
,TR40050|c1_g3_i9,GO:0044710,ferric reduction oxidase chloroplastic-like,,,,,,
,TR40050|c1_g3_i9,GO:0003824,ferric reduction oxidase chloroplastic-like,,,,,,
,TR40111|c0_g5_i2,GO:0006796,protein phosphatase-,,,,,,
,TR40111|c0_g5_i2,GO:0016791,protein phosphatase-,,,,,,
,TR40135|c1_g1_i2,GO:0043231,pentatricopeptide repeat-containing protein mitochondrial-like,,,,,,
,TR40154|c1_g2_i2,GO:0043231,digestive organ expansion factor homolog,,,,,,
,TR40154|c1_g2_i2,GO:0048229,digestive organ expansion factor homolog,,,,,,
,TR40154|c1_g2_i2,GO:0043232,digestive organ expansion factor homolog,,,,,,
,TR40154|c1_g2_i2,GO:0006886,digestive organ expansion factor homolog,,,,,,
,TR40154|c1_g2_i2,GO:0006351,digestive organ expansion factor homolog,,,,,,
,TR40157|c0_g1_i14,GO:0043231,gpi ethanolamine phosphate isoform 1,,,,,,
,TR40157|c0_g1_i14,GO:0016788,gpi ethanolamine phosphate isoform 1,,,,,,
,TR40157|c0_g1_i14,GO:0031090,gpi ethanolamine phosphate isoform 1,,,,,,
,TR40157|c0_g1_i14,GO:0006497,gpi ethanolamine phosphate isoform 1,,,,,,
,TR40164|c4_g3_i5,GO:0016109,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0000166,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0009893,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0006090,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0042743,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0016667,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0009668,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0010962,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0009532,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0019725,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0010038,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0016209,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0006801,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0090056,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40164|c4_g3_i5,GO:0030234,nadph-dependent thioredoxin reductase c isoform partial,,,,,,
,TR40189|c4_g1_i1,GO:0046914,lacasse diphenol oxidase,,,,,,
,TR40189|c4_g1_i1,GO:0016682,lacasse diphenol oxidase,,,,,,
,TR40189|c4_g1_i1,GO:0009808,lacasse diphenol oxidase,,,,,,
,TR40189|c4_g1_i1,GO:0005576,lacasse diphenol oxidase,,,,,,
rib bioge,TR40193|c1_g7_i9,GO:0009553,u3 small nucleolar rna-associated protein 15 homolog,,,,,,
ribpr cpx bg,TR40193|c1_g7_i9,GO:0031461,u3 small nucleolar rna-associated protein 15 homolog,,,,,,
,TR40193|c1_g7_i9,GO:0043232,u3 small nucleolar rna-associated protein 15 homolog,,,,,,
,TR40193|c1_g7_i9,GO:0042254,u3 small nucleolar rna-associated protein 15 homolog,,,,,,
,TR40193|c1_g7_i9,GO:0006997,u3 small nucleolar rna-associated protein 15 homolog,,,,,,
,TR40193|c1_g7_i9,GO:0003006,u3 small nucleolar rna-associated protein 15 homolog,,,,,,
,TR40230|c2_g1_i4,GO:0043232,uncharacterized protein loc100245167,,,,,,
,TR40243|c2_g4_i9,GO:0016407,n-acetyltransferase p20,,,,,,
Ribpr cpx,TR40247|c0_g2_i1,GO:0034645,40s ribosomal protein s3a-like,,,,,,
,TR40247|c0_g2_i1,GO:0015935,40s ribosomal protein s3a-like,,,,,,
,TR40247|c0_g2_i1,GO:0005198,40s ribosomal protein s3a-like,,,,,,
Ribpr cpx,TR40293|c2_g1_i2,GO:0034645,60s ribosomal protein l27,,,,,,
,TR40293|c2_g1_i2,GO:0030529,60s ribosomal protein l27,,,,,,
,TR40293|c2_g1_i2,GO:0005198,60s ribosomal protein l27,,,,,,
,TR40327|c7_g1_i2,GO:0017111,atp-dependent rna helicase mitochondrial,,,,,,
,TR40327|c7_g1_i2,GO:0032550,atp-dependent rna helicase mitochondrial,,,,,,
,TR40327|c7_g1_i2,GO:0006221,atp-dependent rna helicase mitochondrial,,,,,,
,TR40341|c3_g1_i1,GO:0016740,probable lrr receptor-like serine threonine-protein kinase at4g08850,,,,,,
,TR40377|c2_g2_i1,GO:0006950,wd repeat-containing protein 76-like,,,,,,
,TR40377|c2_g2_i1,GO:0031461,wd repeat-containing protein 76-like,,,,,,
,TR40377|c2_g2_i1,GO:0001101,wd repeat-containing protein 76-like,,,,,,
,TR40402|c1_g2_i1,GO:0005488,dna rna polymerases superfamily protein,,,,,,
,TR41076|c0_g1_i1,GO:0046914,early nodulin-like protein 1 precursor,,,,,,
,TR41239|c0_g1_i1,GO:0006796,probable lrr receptor-like serine threonine-protein kinase at1g07650,,,,,,
,TR41239|c0_g1_i1,GO:0006464,probable lrr receptor-like serine threonine-protein kinase at1g07650,,,,,,
,TR41239|c0_g1_i1,GO:0004672,probable lrr receptor-like serine threonine-protein kinase at1g07650,,,,,,
,TR41239|c0_g1_i1,GO:0032550,probable lrr receptor-like serine threonine-protein kinase at1g07650,,,,,,
,TR41918|c0_g1_i1,GO:0044238,gdsl lipase,,,,,,
,TR41918|c0_g1_i1,GO:0016788,gdsl lipase,,,,,,
,TR42917|c0_g1_i1,GO:0034645,uncharacterized protein loc102616873,,,,,,
,TR42917|c0_g1_i1,GO:0030529,uncharacterized protein loc102616873,,,,,,
,TR42917|c0_g1_i1,GO:0005198,uncharacterized protein loc102616873,,,,,,
,TR43502|c0_g1_i1,GO:0034645,60s ribosomal protein l13a-4-like,,,,,,
,TR43502|c0_g1_i1,GO:0005198,60s ribosomal protein l13a-4-like,,,,,,
,TR43502|c0_g1_i1,GO:0044391,60s ribosomal protein l13a-4-like,,,,,,
,TR34139|c1_g1_i5,GO:0046872,#NAME?,,,,,,
,TR34139|c1_g1_i5,GO:0016838,#NAME?,,,,,,
,TR34144|c1_g1_i2,GO:0016616,glucose-6-phosphate 1-,,,,,,
,TR34144|c1_g1_i2,GO:0006007,glucose-6-phosphate 1-,,,,,,
,TR34144|c1_g1_i2,GO:0000166,glucose-6-phosphate 1-,,,,,,
,TR34151|c1_g1_i4,GO:0005088,rho guanyl-nucleotide exchange factor 14 isoform 2,,,,,,
,TR34151|c1_g1_i4,GO:0010769,rho guanyl-nucleotide exchange factor 14 isoform 2,,,,,,
,TR34151|c1_g1_i4,GO:0000097,rho guanyl-nucleotide exchange factor 14 isoform 2,,,,,,
,TR34151|c1_g1_i4,GO:0032319,rho guanyl-nucleotide exchange factor 14 isoform 2,,,,,,
,TR34169|c0_g1_i1,GO:0016209,2-cys peroxiredoxin chloroplastic-like,,,,,,
,TR34169|c0_g1_i1,GO:0044710,2-cys peroxiredoxin chloroplastic-like,,,,,,
,TR34169|c0_g1_i1,GO:0003824,2-cys peroxiredoxin chloroplastic-like,,,,,,
RNA mod,TR34196|c1_g1_i5,GO:0016866,pseudouridine synthase family protein isoform 1,,,,,,
